date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:49:00	469/469	---M--	404	error ('File%20not%20found')	text/html	date:Tue,%2023%20Feb%202021%2023:48:59%20GMT	http://10.10.160.147:9001/robots.txt		(from )
07:49:01	480/480	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:00%20GMT	http://10.10.160.147:9001/	10.10.160.147_9001/index.html	(from )
07:49:02	10918/10918	---M--	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2000:40:52%20GMT	http://10.10.160.147:9001/html/	10.10.160.147_9001/html/index.html	(from http://10.10.160.147:9001/)
07:49:02	684/684	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:01%20GMT	http://10.10.160.147:9001/serv1/	10.10.160.147_9001/serv1/index.html	(from http://10.10.160.147:9001/)
07:49:02	348/348	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:01%20GMT	http://10.10.160.147:9001/serv2/	10.10.160.147_9001/serv2/index.html	(from http://10.10.160.147:9001/)
07:49:02	688/688	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:01%20GMT	http://10.10.160.147:9001/serv3/	10.10.160.147_9001/serv3/index.html	(from http://10.10.160.147:9001/)
07:49:03	469/469	---M--	404	error ('File%20not%20found')	text/html	date:Tue,%2023%20Feb%202021%2023:49:02%20GMT	http://10.10.160.147:9001/icons/ubuntu-logo.png	10.10.160.147_9001/icons/ubuntu-logo.0.delayed	(from http://10.10.160.147:9001/html/)
07:49:03	352/352	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:02%20GMT	http://10.10.160.147:9001/serv4/	10.10.160.147_9001/serv4/index.html	(from http://10.10.160.147:9001/)
07:49:03	469/469	---M--	404	error ('File%20not%20found')	text/html	date:Tue,%2023%20Feb%202021%2023:49:03%20GMT	http://10.10.160.147:9001/manual	10.10.160.147_9001/manual.1.delayed	(from http://10.10.160.147:9001/html/)
07:49:04	604/604	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/Autoload.php	10.10.160.147_9001/serv1/Autoload.php	(from http://10.10.160.147:9001/serv1/)
07:49:05	579/579	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/Output.php	10.10.160.147_9001/serv1/Output.php	(from http://10.10.160.147:9001/serv1/)
07:49:06	372/372	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:05%20GMT	http://10.10.160.147:9001/serv1/controllers/	10.10.160.147_9001/serv1/controllers/index.html	(from http://10.10.160.147:9001/serv1/)
07:49:06	534/534	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:05%20GMT	http://10.10.160.147:9001/serv1/data/	10.10.160.147_9001/serv1/data/index.html	(from http://10.10.160.147:9001/serv1/)
07:49:06	4227/4227	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/Route.php	10.10.160.147_9001/serv1/Route.php	(from http://10.10.160.147:9001/serv1/)
07:49:07	541/541	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:06%20GMT	http://10.10.160.147:9001/serv1/public/	10.10.160.147_9001/serv1/public/index.html	(from http://10.10.160.147:9001/serv1/)
07:49:07	306/306	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/View.php	10.10.160.147_9001/serv1/View.php	(from http://10.10.160.147:9001/serv1/)
07:49:08	362/362	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:07%20GMT	http://10.10.160.147:9001/serv1/routes/	10.10.160.147_9001/serv1/routes/index.html	(from http://10.10.160.147:9001/serv1/)
07:49:08	575/575	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:07%20GMT	http://10.10.160.147:9001/serv1/view/	10.10.160.147_9001/serv1/view/index.html	(from http://10.10.160.147:9001/serv1/)
07:49:08	624/624	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:08%20GMT	http://10.10.160.147:9001/serv2/public/	10.10.160.147_9001/serv2/public/index.html	(from http://10.10.160.147:9001/serv2/)
07:49:08	604/604	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2004%20Feb%202021%2011:26:09%20GMT	http://10.10.160.147:9001/serv3/Autoload.php	10.10.160.147_9001/serv3/Autoload.php	(from http://10.10.160.147:9001/serv3/)
07:49:09	579/579	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2004%20Feb%202021%2011:26:09%20GMT	http://10.10.160.147:9001/serv3/Output.php	10.10.160.147_9001/serv3/Output.php	(from http://10.10.160.147:9001/serv3/)
07:49:10	380/380	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:09%20GMT	http://10.10.160.147:9001/serv3/controllers/	10.10.160.147_9001/serv3/controllers/index.html	(from http://10.10.160.147:9001/serv3/)
07:49:10	417/417	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:09%20GMT	http://10.10.160.147:9001/serv3/models/	10.10.160.147_9001/serv3/models/index.html	(from http://10.10.160.147:9001/serv3/)
07:49:10	4227/4227	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2004%20Feb%202021%2011:26:09%20GMT	http://10.10.160.147:9001/serv3/Route.php	10.10.160.147_9001/serv3/Route.php	(from http://10.10.160.147:9001/serv3/)
07:49:11	397/397	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:10%20GMT	http://10.10.160.147:9001/serv3/public/	10.10.160.147_9001/serv3/public/index.html	(from http://10.10.160.147:9001/serv3/)
07:49:11	306/306	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2004%20Feb%202021%2011:26:09%20GMT	http://10.10.160.147:9001/serv3/View.php	10.10.160.147_9001/serv3/View.php	(from http://10.10.160.147:9001/serv3/)
07:49:12	362/362	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:11%20GMT	http://10.10.160.147:9001/serv3/routes/	10.10.160.147_9001/serv3/routes/index.html	(from http://10.10.160.147:9001/serv3/)
07:49:12	585/585	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2023:49:11%20GMT	http://10.10.160.147:9001/serv3/view/	10.10.160.147_9001/serv3/view/index.html	(from http://10.10.160.147:9001/serv3/)
07:49:12	38/38	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2015%20Feb%202021%2019:23:32%20GMT	http://10.10.160.147:9001/serv4/index.php	10.10.160.147_9001/serv4/index.php	(from http://10.10.160.147:9001/serv4/)
07:49:13	4209/4209	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/controllers/Cms.php	10.10.160.147_9001/serv1/controllers/Cms.php	(from http://10.10.160.147:9001/serv1/controllers/)
07:49:14	1951/1951	---M--	200	added ('OK')	text/plain	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/data/about.txt	10.10.160.147_9001/serv1/data/about.txt	(from http://10.10.160.147:9001/serv1/data/)
07:49:15	1762/1762	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Feb%202021%2022:06:08%20GMT	http://10.10.160.147:9001/serv1/data/contact.txt	10.10.160.147_9001/serv1/data/contact.txt	(from http://10.10.160.147:9001/serv1/data/)
07:49:16	1949/1949	---M--	200	added ('OK')	text/plain	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/data/home.txt	10.10.160.147_9001/serv1/data/home.txt	(from http://10.10.160.147:9001/serv1/data/)
07:49:17	65/65	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Feb%202021%2022:06:08%20GMT	http://10.10.160.147:9001/serv1/data/pages.txt	10.10.160.147_9001/serv1/data/pages.txt	(from http://10.10.160.147:9001/serv1/data/)
07:49:18	83/83	---M--	200	added ('OK')	text/plain	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/data/user.txt	10.10.160.147_9001/serv1/data/user.txt	(from http://10.10.160.147:9001/serv1/data/)
07:49:19	158/158	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/public/index.php	10.10.160.147_9001/serv1/public/index.php	(from http://10.10.160.147:9001/serv1/public/)
07:49:20	30/30	---M--	200	added ('OK')	text/plain	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/public/robots.txt	10.10.160.147_9001/serv1/public/robots.txt	(from http://10.10.160.147:9001/serv1/public/)
07:49:21	2844/2844	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2023%20Feb%202021%2022:48:48%20GMT	http://10.10.160.147:9001/serv1/public/tmux-client-1794.log	10.10.160.147_9001/serv1/public/tmux-client-1794.log	(from http://10.10.160.147:9001/serv1/public/)
07:49:24	426/426	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/routes/url.php	10.10.160.147_9001/serv1/routes/url.php	(from http://10.10.160.147:9001/serv1/routes/)
07:49:26	421/421	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/view/404.php	10.10.160.147_9001/serv1/view/404.php	(from http://10.10.160.147:9001/serv1/view/)
07:49:28	76138/76138	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2023%20Feb%202021%2022:48:48%20GMT	http://10.10.160.147:9001/serv1/public/tmux-server-1796.log	10.10.160.147_9001/serv1/public/tmux-server-1796.log	(from http://10.10.160.147:9001/serv1/public/)
07:49:28	4952/4952	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/view/admin.php	10.10.160.147_9001/serv1/view/admin.php	(from http://10.10.160.147:9001/serv1/view/)
07:49:28	972/972	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/view/edit.php	10.10.160.147_9001/serv1/view/edit.php	(from http://10.10.160.147:9001/serv1/view/)
07:49:29	304/304	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2027%20Jan%202021%2013:26:12%20GMT	http://10.10.160.147:9001/serv1/view/footer.php	10.10.160.147_9001/serv1/view/footer.php	(from http://10.10.160.147:9001/serv1/view/)
